类别,尺寸,颜色,目的地,业务类型,国家,价格,数量,折扣
汽车,30 oz,红色,法国,经销商,法国,21044,28,66
汽车,252 oz,蓝色,德国,经销商,德国,2083,14,52
汽车,199 oz,白色,英国,经销商,英国,25789,21,55
汽车,105 oz,白色,美国,经销商,美国,16806,24,32
汽车,201 oz,红色,澳大利亚,批发,澳大利亚,10818,26,22
汽车,345 oz,蓝色,加拿大,批发,加拿大,46741,54,68
汽车,3 oz,白色,澳大利亚,批发,法国,51389,45,29
汽车,297 oz,红色,加拿大,批发,德国,34215,43,7
配件,127 oz,红色,澳大利亚,自行车专卖店,澳大利亚,174,854,
配件,317 oz,黄色,加拿大,自行车专卖店,加拿大,502,227,
配件,194 oz,白色,法国,自行车专卖店,法国,242,121,
配件,310 oz,黄色,德国,自行车专卖店,德国,102,289,
配件,11 oz,红色,英国,自行车专卖店,英国,126,48,
配件,163 oz,黄色,美国,自行车专卖店,美国,1246,944,
配件,169 oz,绿色,澳大利亚,经销商,澳大利亚,680,639,
配件,152 oz,黄色,加拿大,经销商,加拿大,1241,892,
配件,332 oz,黄色,法国,经销商,法国,150,953,
配件,333 oz,红色,德国,经销商,德国,244,791,
配件,295 oz,黄色,英国,经销商,英国,501,20,
配件,284 oz,红色,美国,经销商,美国,4960,336,
配件,339 oz,黄色,澳大利亚,批发,澳大利亚,9,121,
配件,343 oz,红色,加拿大,批发,加拿大,3655,812,
配件,326 oz,绿色,法国,批发,法国,1654,663,
配件,139 oz,黄色,德国,批发,德国,1190,108,
配件,193 oz,红色,英国,批发,英国,1222,459,
配件,186 oz,白色,美国,批发,美国,7941,386,
自行车,114 oz,白色,澳大利亚,自行车专卖店,澳大利亚,2038,94,
自行车,238 oz,红色,加拿大,自行车专卖店,加拿大,3271,20,
自行车,98 oz,红色,法国,自行车专卖店,法国,1706,77,
自行车,345 oz,绿色,德国,自行车专卖店,德国,3297,65,
自行车,15 oz,绿色,英国,自行车专卖店,英国,518,98,
自行车,197 oz,绿色,美国,自行车专卖店,美国,2047,59,
自行车,267 oz,绿色,澳大利亚,经销商,澳大利亚,5582,65,
自行车,185 oz,红色,加拿大,经销商,加拿大,4235,56,
自行车,156 oz,黄色,法国,经销商,法国,9127,21,
自行车,40 oz,红色,德国,经销商,德国,4297,12,
自行车,304 oz,蓝色,英国,经销商,英国,7214,58,
自行车,149 oz,红色,澳大利亚,经销商,美国,8641,73,
自行车,181 oz,蓝色,加拿大,批发,澳大利亚,7833,20,
自行车,118 oz,蓝色,法国,批发,加拿大,6627,89,
自行车,130 oz,紫色,德国,批发,法国,9979,61,
自行车,53 oz,红色,英国,批发,德国,2751,39,
自行车,91 oz,蓝色,美国,批发,英国,1167,51,
自行车,261 oz,蓝色,澳大利亚,批发,美国,8236,16,
服装,91 oz,黄色,加拿大,自行车专卖店,澳大利亚,62,4061,
服装,338 oz,蓝色,法国,自行车专卖店,加拿大,512,3852,
服装,41 oz,蓝色,德国,自行车专卖店,法国,861,8426,
服装,18 oz,蓝色,英国,自行车专卖店,德国,454,821,
服装,167 oz,白色,美国,自行车专卖店,英国,44,3402,
服装,143 oz,紫色,澳大利亚,自行车专卖店,美国,698,2570,
服装,18 oz,红色,加拿大,经销商,澳大利亚,838,6220,
服装,76 oz,紫色,法国,经销商,加拿大,708,3030,
服装,127 oz,绿色,德国,经销商,法国,486,8539,
服装,164 oz,红色,英国,经销商,德国,160,8231,
服装,185 oz,白色,美国,经销商,英国,403,4240,
服装,271 oz,白色,澳大利亚,经销商,美国,259,8317,
服装,76 oz,红色,英国,批发,澳大利亚,373,9660,
服装,60 oz,蓝色,美国,批发,加拿大,781,6787,
服装,26 oz,绿色,澳大利亚,批发,法国,839,8285,
服装,180 oz,蓝色,加拿大,批发,德国,102,5120,
服装,34 oz,绿色,法国,批发,英国,837,6726,
服装,128 oz,绿色,德国,批发,美国,385,7670,
零件,16 oz,红色,英国,自行车专卖店,澳大利亚,356,3141,
零件,216 oz,绿色,美国,自行车专卖店,加拿大,829,6800,
零件,219 oz,红色,澳大利亚,自行车专卖店,法国,842,9285,
零件,343 oz,蓝色,英国,自行车专卖店,德国,740,3246,
零件,212 oz,蓝色,美国,自行车专卖店,英国,822,5027,
零件,74 oz,红色,澳大利亚,自行车专卖店,美国,785,4653,
零件,168 oz,蓝色,加拿大,经销商,澳大利亚,250,3974,
零件,36 oz,红色,法国,经销商,加拿大,414,1668,
零件,286 oz,蓝色,德国,经销商,法国,253,741,
零件,303 oz,红色,法国,经销商,德国,730,4650,
零件,231 oz,蓝色,德国,经销商,英国,430,4001,
零件,70 oz,蓝色,英国,经销商,美国,678,1938,
零件,6 oz,绿色,美国,批发,澳大利亚,363,6459,
零件,14 oz,白色,澳大利亚,批发,加拿大,735,352,
零件,109 oz,蓝色,加拿大,经销商,澳大利亚,766,6306,
零件,169 oz,红色,澳大利亚,经销商,加拿大,113,6532,
零件,42 oz,蓝色,加拿大,经销商,法国,22,5766,
零件,233 oz,红色,法国,经销商,德国,797,6738,
零件,318 oz,蓝色,德国,经销商,英国,26,4829,
零件,55 oz,蓝色,英国,经销商,美国,515,971,
零件,118 oz,绿色,美国,批发,澳大利亚,959,9815,
零件,64 oz,白色,德国,批发,加拿大,72,8940,
零件,72 oz,绿色,英国,批发,澳大利亚,204,2766,
零件,205 oz,白色,美国,批发,加拿大,838,4115,
零件,78 oz,白色,澳大利亚,批发,法国,705,5804,
零件,78 oz,蓝色,加拿大,批发,德国,369,2138,
零件,317 oz,白色,澳大利亚,批发,英国,804,964,
零件,259 oz,蓝色,加拿大,批发,美国,35,2548,
零件,251 oz,红色,法国,自行车专卖店,澳大利亚,700,3288,
零件,141 oz,绿色,德国,自行车专卖店,加拿大,108,2821,
配件,121 oz,红色,澳大利亚,自行车专卖店,澳大利亚,174,459,
配件,278 oz,黄色,加拿大,自行车专卖店,加拿大,502,662,
配件,67 oz,白色,法国,自行车专卖店,法国,242,856,
配件,345 oz,黄色,德国,自行车专卖店,德国,102,828,
配件,149 oz,红色,英国,自行车专卖店,英国,126,385,
配件,196 oz,黄色,美国,自行车专卖店,美国,1246,721,
配件,225 oz,绿色,澳大利亚,经销商,澳大利亚,680,386,
配件,107 oz,黄色,加拿大,经销商,加拿大,1241,920,
配件,170 oz,黄色,法国,经销商,法国,150,335,
配件,140 oz,红色,德国,经销商,德国,244,365,
配件,336 oz,黄色,英国,经销商,英国,501,248,
配件,343 oz,红色,美国,经销商,美国,4960,762,
配件,228 oz,黄色,澳大利亚,批发,澳大利亚,9,487,
配件,65 oz,红色,加拿大,批发,加拿大,3655,522,
配件,321 oz,绿色,法国,批发,法国,1654,108,
配件,142 oz,黄色,德国,批发,德国,1190,219,
配件,344 oz,红色,英国,批发,英国,1222,419,
配件,29 oz,白色,美国,批发,美国,7941,60,
自行车,283 oz,白色,澳大利亚,自行车专卖店,澳大利亚,6152,64,
自行车,81 oz,红色,加拿大,自行车专卖店,加拿大,7623,44,
自行车,219 oz,红色,法国,自行车专卖店,法国,3971,17,
自行车,238 oz,绿色,德国,自行车专卖店,德国,3591,11,
自行车,286 oz,绿色,英国,自行车专卖店,英国,2564,61,
自行车,333 oz,绿色,美国,自行车专卖店,美国,5165,13,
自行车,242 oz,绿色,澳大利亚,经销商,澳大利亚,2344,56,
自行车,67 oz,红色,加拿大,经销商,加拿大,3864,24,
自行车,40 oz,黄色,法国,经销商,法国,9845,23,
自行车,201 oz,红色,德国,经销商,德国,4822,27,
自行车,1 oz,蓝色,英国,经销商,英国,3857,98,
自行车,141 oz,红色,澳大利亚,经销商,美国,2360,55,
自行车,182 oz,蓝色,加拿大,批发,澳大利亚,8499,62,
自行车,294 oz,蓝色,法国,批发,加拿大,4516,38,
自行车,158 oz,紫色,德国,批发,法国,5239,39,
自行车,243 oz,红色,英国,批发,德国,9633,19,
